Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore	SurveyScanTime	FragScanTime	OptimalPeakApexScanTime	Comment
0	1280	169.0356	252	253	261	-1	1	216	351	261	2.5037E+07	315.4	13	4.6166E+08	1.1754E+07	79372	347900	238	4.0952E+08	260	11.9	0.06604	0.3307	7	0.9864	0.99211	1.00087	1.01384	Uric acid
0	1281	169.0495	1114	1115	1064	-1	1	1010	1250	1064	1.6061E+08	12.42	35	7.5051E+09	1.86E+07	1.2929E+07	2.21E+07	80	5.0547E+09	1066	14.7	0.4451	0.2713	14	0.9405	3.70357	3.71233	3.52104	Vanillic acid
0	1282	181.0495	793	794	784	-1	1	686	884	784	1.0756E+07	31.27	45	5.9738E+08	1.3441E+07	344014	822089	135	4.8568E+08	785	17.6	-0.02367	0.2665	12	0.4106	2.59678	2.60555	2.57268	Acetylsalicylic acid
0	1283	181.0707	252	253	216	-1	1	180	243	216	100650	12.25	10	1.5761E+06	13711	8217.4	15499	238	1.1494E+06	219	11.6	-0.002265	0.3143	8	0.9864	0.99211	1.00087	0.90654	Sugars-Monosaccharides-Hexoses (Glucose)
0	1284	193.0343	378	379	288	-1	1	252	324	288	469879	42.07	28	1.7101E+07	13139	11168	30462	237	1.7136E+07	293	14.4	0.112	0.3	9	0.8205	1.34187	1.35065	1.08103	Citrate (1.3 min.)
0	1285	193.0343	270	271	288	-1	1	252	324	288	469879	42.07	28	1.7101E+07	220145	11168	30462	237	1.7014E+07	293	14.2	0.07228	0.3	9	0.7817	1.03505	1.04383	1.08103	Citrate (1.0 min.)
0	1286	193.0707	243	244	252	-1	1	216	288	252	2.8149E+06	114.2	10	3.5233E+07	98083	24642	64253	239	3.7044E+07	254	11.4	-0.05248	0.3307	7	0.9891	0.97093	0.97969	0.99211	L-Cysteine
0	1287	193.0707	297	298	252	-1	1	216	288	252	2.8149E+06	114.2	10	3.5233E+07	87560	24642	64253	239	3.7044E+07	254	11.4	-0.05248	0.3307	7	0	1.10624	1.11501	0.99211	Quinate
0	1288	195.0877	893	894	866	-1	1	775	1026	866	2.1565E+08	139.3	31	7.5154E+09	2.3663E+07	1.5478E+06	8.06E+06	237	7.1316E+09	865	14.1	0.04176	0.315	9	0.1958	2.909	2.91777	2.826	Caffeine
0	1289	205.0972	637	638	570	-1	1	477	821	570	1.9179E+09	75.48	54	1.0898E+11	1.2552E+08	2.5411E+07	1.35E+08	236	9.7462E+10	578	19.7	0.3469	0.2665	12	0.3416	2.10711	2.11587	1.92163	D-Tryptophan
0	1290	244.0928	234	235	216	-1	1	180	252	216	141089	21.89	11	2.2786E+06	21434	6446.1	9677	237	1.9307E+06	218	13	0.313	0.3	9	1	0.95114	0.95995	0.90654	Cytidine
0	1291	245.0768	279	280	261	-1	1	225	306	261	3.1901E+06	194	16	5.1011E+07	308762	16447	79077	238	5.6211E+07	265	11.8	-0.003641	0.3337	8	0.9515	1.05588	1.06466	1.01384	Uridine
0	1292	345.1391	387	388	243	-1	1	198	279	243	1.0185E+07	204	20	2.1726E+08	101379	49931	311485	238	2.2893E+08	240	12.3	-0.04312	0.3423	8	0.2305	1.36894	1.3777	0.97093	Maltitol
0	1293	355.1024	279	280	495	-1	1	459	531	495	122419	0.03241	19	1.1364E+07	19939	3.777E+06	1.6E+07	236	3.2533E+06	496	9.33	-0.1713	0.3727	5	0.9515	1.05588	1.06466	1.69673	Chlorogenic acid (1.0 min.)
0	1294	355.1024	830	831	784	-1	1	690	1029	784	2.6966E+08	71.39	45	1.4785E+10	3.0445E+07	3.777E+06	1.6E+07	236	1.2936E+10	784	19.1	0.2816	0.2575	13	0.9713	2.71801	2.72679	2.57268	Chlorogenic acid (2.7 min.)
0	1295	423.0922	1071	1072	1018	-1	1	848	1211	1018	2.1033E+08	11.52	52	1.3497E+10	3.7102E+07	1.8256E+07	4.6E+07	160	1.0058E+10	1022	21.1	0.2782	0.2746	20	0.6158	3.5429	3.55168	3.3367	Mangiferin
0	1296	442.147	270	271	270	-1	1	234	315	270	2.8278E+06	41.15	11	4.0418E+07	2.8278E+06	68715	179950	237	3.9895E+07	274	11.7	0.02791	0.3331	8	0.7817	1.03505	1.04383	1.03505	Folic acid (1.0 min.)
0	1297	442.147	597	598	561	-1	1	504	730	561	1.9064E+06	27.74	42	1.177E+08	681399	68715	179950	237	1.0013E+08	578	28.2	0.6496	0.4598	17	0	1.9848	1.99358	1.90122	Folic acid (2.0 min.)
